# nr  root
0.000 2.400
1.000 3.810
2.000 5.130
0.000 5.540
3.000 6.410
1.000 7.040
4.000 7.610
2.000 8.390
0.000 8.680
5.000 8.760
3.000 9.780
6.000 9.920
1.000 10.190
4.000 11.020
7.000 11.040
2.000 11.610
0.000 11.820
8.000 12.270
5.000 12.380
3.000 13.040
1.000 13.330
9.000 13.340
6.000 13.620
4.000 14.390
10.000 14.460
2.000 14.750
7.000 14.830
0.000 14.960
5.000 15.710
8.000 16.010
3.000 16.180
1.000 16.470
6.000 16.990
9.000 17.230
4.000 17.610
2.000 17.980
0.000 18.100
7.000 18.230
10.000 18.470
5.000 18.940
3.000 19.440
11.000 19.580
8.000 19.590
1.000 19.610
11.000 19.610
6.000 20.350
12.000 20.770
9.000 20.780
12.000 20.810
4.000 20.830
2.000 21.120
0.000 21.240
7.000 21.630
13.000 21.990
10.000 22.030
5.000 22.180
3.000 22.580
1.000 22.750
8.000 22.950
14.000 23.100
11.000 23.260
6.000 23.610
4.000 24.050
9.000 24.250
2.000 24.260
15.000 24.300
0.000 24.390
12.000 24.470
7.000 24.900
5.000 25.420
10.000 25.450
16.000 25.470
13.000 25.660
13.000 25.710
3.000 25.720
1.000 25.890
8.000 26.310
17.000 26.590
11.000 26.800
6.000 26.860
14.000 26.880
14.000 26.970
4.000 27.190
2.000 27.480
0.000 27.530
9.000 27.560
18.000 27.680
12.000 28.050
15.000 28.130
15.000 28.130
7.000 28.180
5.000 28.650
19.000 28.820
3.000 28.870
10.000 28.950
1.000 29.030
13.000 29.280
16.000 29.330
16.000 29.350
8.000 29.610
20.000 29.950
6.000 30.000
11.000 30.140
4.000 30.330
14.000 30.490
17.000 30.510
2.000 30.630
0.000 30.670
9.000 30.870
21.000 31.130
7.000 31.450
12.000 31.520
18.000 31.650
15.000 31.680
5.000 31.790
3.000 32.120
1.000 32.180
22.000 32.190
10.000 32.280
13.000 32.660
19.000 32.750
8.000 32.750
16.000 33.000
6.000 33.260
23.000 33.340
4.000 33.470
11.000 33.490
2.000 33.770
0.000 33.810
20.000 33.980
14.000 34.010
17.000 34.100
17.000 34.170
9.000 34.180
24.000 34.360
7.000 34.590
12.000 34.880
5.000 34.930
21.000 35.220
15.000 35.230
3.000 35.270
1.000 35.320
18.000 35.320
18.000 35.430
10.000 35.510
25.000 35.580
8.000 36.040
13.000 36.150
22.000 36.240
6.000 36.400
16.000 36.430
19.000 36.580
19.000 36.620
26.000 36.660
4.000 36.770
11.000 36.830
2.000 36.910
0.000 36.990
9.000 37.400
23.000 37.410
14.000 37.410
20.000 37.740
17.000 37.770
20.000 37.850
27.000 37.860
7.000 37.860
12.000 38.130
5.000 38.170
3.000 38.410
1.000 38.460
24.000 38.590
15.000 38.650
10.000 38.750
28.000 38.930
21.000 38.940
18.000 38.950
21.000 39.040
8.000 39.180
13.000 39.410
6.000 39.540
25.000 39.740
4.000 39.910
16.000 40.010
2.000 40.050
19.000 40.110
0.000 40.130
11.000 40.170
22.000 40.180
22.000 40.230
9.000 40.620
14.000 40.810
26.000 40.870
7.000 41.000
17.000 41.230
23.000 41.380
12.000 41.380
5.000 41.410
20.000 41.430
3.000 41.550
1.000 41.600
27.000 41.970
15.000 42.060
10.000 42.070
18.000 42.410
8.000 42.470
